SiteVisit_ID,sDate,SITEID,Project,Notes,FishSampleType,FI_Shocker_Voltage,DateAdded,AddedBy,LastEdit_by,LastEdit_date,SiteVisit_ID_Legacy,SiteVisit_ID_New
1982-06-16_F_1F001,1982-06-16 00:00:00,1F001,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-16-1F001,1982-06-16_F_1F001
1982-06-16_F_1F002,1982-06-16 00:00:00,1F002,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-16-1F002,1982-06-16_F_1F002
1982-06-24_F_1F006,1982-06-24 00:00:00,1F006,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-24-1F006,1982-06-24_F_1F006
1982-06-24_F_1F007,1982-06-24 00:00:00,1F007,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-24-1F007,1982-06-24_F_1F007
1982-06-24_F_1F008,1982-06-24 00:00:00,1F008,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-24-1F008,1982-06-24_F_1F008
1982-06-28_F_1F003_1,1982-06-28 00:00:00,1F003_1,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-28-1F003_1,1982-06-28_F_1F003_1
1982-06-28_F_1F004,1982-06-28 00:00:00,1F004,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-28-1F004,1982-06-28_F_1F004
1982-06-28_F_1F005,1982-06-28 00:00:00,1F005,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-28-1F005,1982-06-28_F_1F005
1982-06-29_F_2F012,1982-06-29 00:00:00,2F012,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-29-2F012,1982-06-29_F_2F012
1982-06-29_F_2F013,1982-06-29 00:00:00,2F013,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-29-2F013,1982-06-29_F_2F013
1982-06-29_F_2F014,1982-06-29 00:00:00,2F014,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-06-29-2F014,1982-06-29_F_2F014
1982-07-01_F_2F015,1982-07-01 00:00:00,2F015,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-01-2F015,1982-07-01_F_2F015
1982-07-01_F_2F016,1982-07-01 00:00:00,2F016,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-01-2F016,1982-07-01_F_2F016
1982-07-01_F_2F017,1982-07-01 00:00:00,2F017,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-01-2F017,1982-07-01_F_2F017
1982-07-08_F_2F009,1982-07-08 00:00:00,2F009,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-08-2F009,1982-07-08_F_2F009
1982-07-08_F_2F010,1982-07-08 00:00:00,2F010,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-08-2F010,1982-07-08_F_2F010
1982-07-08_F_2F011,1982-07-08 00:00:00,2F011,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-08-2F011,1982-07-08_F_2F011
1982-07-12_F_3F024,1982-07-12 00:00:00,3F024,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-12-3F024,1982-07-12_F_3F024
1982-07-12_F_3F025,1982-07-12 00:00:00,3F025,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-12-3F025,1982-07-12_F_3F025
1982-07-12_F_3F026,1982-07-12 00:00:00,3F026,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-12-3F026,1982-07-12_F_3F026
1982-07-15_F_3F018,1982-07-15 00:00:00,3F018,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-15-3F018,1982-07-15_F_3F018
1982-07-15_F_3F019,1982-07-15 00:00:00,3F019,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-15-3F019,1982-07-15_F_3F019
1982-07-15_F_3F020,1982-07-15 00:00:00,3F020,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-15-3F020,1982-07-15_F_3F020
1982-07-19_F_3F021,1982-07-19 00:00:00,3F021,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-19-3F021,1982-07-19_F_3F021
1982-07-19_F_3F022,1982-07-19 00:00:00,3F022,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-19-3F022,1982-07-19_F_3F022
1982-07-19_F_3F023,1982-07-19 00:00:00,3F023,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-07-19-3F023,1982-07-19_F_3F023
1982-09-17_F_1F030,1982-09-17 00:00:00,1F030,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-17-1F030,1982-09-17_F_1F030
1982-09-17_F_1F031,1982-09-17 00:00:00,1F031,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-17-1F031,1982-09-17_F_1F031
1982-09-23_F_2F032,1982-09-23 00:00:00,2F032,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-23-2F032,1982-09-23_F_2F032
1982-09-23_F_2F033,1982-09-23 00:00:00,2F033,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-23-2F033,1982-09-23_F_2F033
1982-09-23_F_2F034,1982-09-23 00:00:00,2F034,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-23-2F034,1982-09-23_F_2F034
1982-09-24_F_2F035,1982-09-24 00:00:00,2F035,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-24-2F035,1982-09-24_F_2F035
1982-09-24_F_2F036,1982-09-24 00:00:00,2F036,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-24-2F036,1982-09-24_F_2F036
1982-09-24_F_2F037,1982-09-24 00:00:00,2F037,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-24-2F037,1982-09-24_F_2F037
1982-09-29_F_2F038,1982-09-29 00:00:00,2F038,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-29-2F038,1982-09-29_F_2F038
1982-09-29_F_2F039,1982-09-29 00:00:00,2F039,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-29-2F039,1982-09-29_F_2F039
1982-09-30_F_2F040,1982-09-30 00:00:00,2F040,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-09-30-2F040,1982-09-30_F_2F040
1982-10-01_F_3F041,1982-10-01 00:00:00,3F041,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-01-3F041,1982-10-01_F_3F041
1982-10-01_F_3F042,1982-10-01 00:00:00,3F042,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-01-3F042,1982-10-01_F_3F042
1982-10-01_F_3F043,1982-10-01 00:00:00,3F043,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-01-3F043,1982-10-01_F_3F043
1982-10-06_F_3F046,1982-10-06 00:00:00,3F046,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-06-3F046,1982-10-06_F_3F046
1982-10-07_F_3F044,1982-10-07 00:00:00,3F044,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-07-3F044,1982-10-07_F_3F044
1982-10-07_F_3F045,1982-10-07 00:00:00,3F045,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-07-3F045,1982-10-07_F_3F045
1982-10-08_F_2F047,1982-10-08 00:00:00,2F047,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-08-2F047,1982-10-08_F_2F047
1982-10-08_F_2F048,1982-10-08 00:00:00,2F048,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-08-2F048,1982-10-08_F_2F048
1982-10-14_F_2F049,1982-10-14 00:00:00,2F049,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-14-2F049,1982-10-14_F_2F049
1982-10-14_F_2F050,1982-10-14 00:00:00,2F050,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-14-2F050,1982-10-14_F_2F050
1982-10-15_F_2F052,1982-10-15 00:00:00,2F052,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-15-2F052,1982-10-15_F_2F052
1982-10-15_F_2F053,1982-10-15 00:00:00,2F053,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-15-2F053,1982-10-15_F_2F053
1982-10-22_F_2F055,1982-10-22 00:00:00,2F055,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1982-10-22-2F055,1982-10-22_F_2F055
1983-06-24_F_1F056,1983-06-24 00:00:00,1F056,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-06-24-1F056,1983-06-24_F_1F056
1983-06-24_F_1F057,1983-06-24 00:00:00,1F057,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-06-24-1F057,1983-06-24_F_1F057
1983-06-24_F_1F058,1983-06-24 00:00:00,1F058,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-06-24-1F058,1983-06-24_F_1F058
1983-06-27_F_2F059,1983-06-27 00:00:00,2F059,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-06-27-2F059,1983-06-27_F_2F059
1983-06-27_F_2F060,1983-06-27 00:00:00,2F060,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-06-27-2F060,1983-06-27_F_2F060
1983-06-29_F_2F063,1983-06-29 00:00:00,2F063,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-06-29-2F063,1983-06-29_F_2F063
1983-07-01_F_2F062,1983-07-01 00:00:00,2F062,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-01-2F062,1983-07-01_F_2F062
1983-07-01_F_2F064,1983-07-01 00:00:00,2F064,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-01-2F064,1983-07-01_F_2F064
1983-07-01_F_2F065,1983-07-01 00:00:00,2F065,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-01-2F065,1983-07-01_F_2F065
1983-07-06_F_2F067,1983-07-06 00:00:00,2F067,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-06-2F067,1983-07-06_F_2F067
1983-07-07_F_2F069,1983-07-07 00:00:00,2F069,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-07-2F069,1983-07-07_F_2F069
1983-07-11_F_2F072_1,1983-07-11 00:00:00,2F072_1,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-11-2F072_1,1983-07-11_F_2F072_1
1983-07-11_F_2F073,1983-07-11 00:00:00,2F073,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-11-2F073,1983-07-11_F_2F073
1983-07-11_F_2F074,1983-07-11 00:00:00,2F074,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-11-2F074,1983-07-11_F_2F074
1983-07-11_F_2F075,1983-07-11 00:00:00,2F075,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-11-2F075,1983-07-11_F_2F075
1983-07-14_F_3F078,1983-07-14 00:00:00,3F078,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-14-3F078,1983-07-14_F_3F078
1983-07-14_F_3F079,1983-07-14 00:00:00,3F079,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-14-3F079,1983-07-14_F_3F079
1983-07-14_F_3F080,1983-07-14 00:00:00,3F080,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-14-3F080,1983-07-14_F_3F080
1983-07-19_F_3F084,1983-07-19 00:00:00,3F084,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-19-3F084,1983-07-19_F_3F084
1983-07-19_F_3F085,1983-07-19 00:00:00,3F085,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-19-3F085,1983-07-19_F_3F085
1983-07-24_F_2F076,1983-07-24 00:00:00,2F076,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-24-2F076,1983-07-24_F_2F076
1983-07-27_F_2F071,1983-07-27 00:00:00,2F071,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-27-2F071,1983-07-27_F_2F071
1983-07-27_F_2F089,1983-07-27 00:00:00,2F089,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-07-27-2F089,1983-07-27_F_2F089
1983-08-02_F_2F052,1983-08-02 00:00:00,2F052,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-02-2F052,1983-08-02_F_2F052
1983-08-02_F_2F053,1983-08-02 00:00:00,2F053,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-02-2F053,1983-08-02_F_2F053
1983-08-02_F_2F090,1983-08-02 00:00:00,2F090,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-02-2F090,1983-08-02_F_2F090
1983-08-16_F_2F091,1983-08-16 00:00:00,2F091,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-16-2F091,1983-08-16_F_2F091
1983-08-16_F_2F092,1983-08-16 00:00:00,2F092,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-16-2F092,1983-08-16_F_2F092
1983-08-16_F_2F093,1983-08-16 00:00:00,2F093,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-16-2F093,1983-08-16_F_2F093
1983-08-16_F_2F134,1983-08-16 00:00:00,2F134,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-16-2F134,1983-08-16_F_2F134
1983-08-16_F_2F135,1983-08-16 00:00:00,2F135,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1983-08-16-2F135,1983-08-16_F_2F135
1984-06-07_F_2F094,1984-06-07 00:00:00,2F094,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-07-2F094,1984-06-07_F_2F094
1984-06-07_F_2F095,1984-06-07 00:00:00,2F095,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-07-2F095,1984-06-07_F_2F095
1984-06-08_F_2F096,1984-06-08 00:00:00,2F096,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-08-2F096,1984-06-08_F_2F096
1984-06-11_F_3F021,1984-06-11 00:00:00,3F021,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-11-3F021,1984-06-11_F_3F021
1984-06-11_F_3F022,1984-06-11 00:00:00,3F022,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-11-3F022,1984-06-11_F_3F022
1984-06-14_F_3F023,1984-06-14 00:00:00,3F023,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-14-3F023,1984-06-14_F_3F023
1984-06-14_F_3F098,1984-06-14 00:00:00,3F098,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-14-3F098,1984-06-14_F_3F098
1984-06-14_F_3F101,1984-06-14 00:00:00,3F101,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-14-3F101,1984-06-14_F_3F101
1984-06-15_F_3F100,1984-06-15 00:00:00,3F100,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-15-3F100,1984-06-15_F_3F100
1984-06-18_F_3F024,1984-06-18 00:00:00,3F024,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-18-3F024,1984-06-18_F_3F024
1984-06-18_F_3F025,1984-06-18 00:00:00,3F025,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-18-3F025,1984-06-18_F_3F025
1984-06-18_F_3F026,1984-06-18 00:00:00,3F026,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-18-3F026,1984-06-18_F_3F026
1984-06-19_F_3F102,1984-06-19 00:00:00,3F102,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-19-3F102,1984-06-19_F_3F102
1984-06-19_F_3F103,1984-06-19 00:00:00,3F103,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-19-3F103,1984-06-19_F_3F103
1984-06-22_F_3F105,1984-06-22 00:00:00,3F105,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-22-3F105,1984-06-22_F_3F105
1984-06-22_F_3F106,1984-06-22 00:00:00,3F106,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-22-3F106,1984-06-22_F_3F106
1984-06-26_F_2F110,1984-06-26 00:00:00,2F110,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-26-2F110,1984-06-26_F_2F110
1984-06-26_F_2F111,1984-06-26 00:00:00,2F111,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-26-2F111,1984-06-26_F_2F111
1984-06-26_F_2F112,1984-06-26 00:00:00,2F112,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-26-2F112,1984-06-26_F_2F112
1984-06-29_F_2F113_1,1984-06-29 00:00:00,2F113_1,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-29-2F113_1,1984-06-29_F_2F113_1
1984-06-29_F_2F115,1984-06-29 00:00:00,2F115,FISH,<Fish>,QUAL,,2001-06-05 17:51:02,,,,1984-06-29-2F115,1984-06-29_F_2F115
