FEATUREID,ArcSite,SiteID,Latitude,Longitude
5907049,1,1F001,38.82428791,-78.20328716
5907049,20,1F133,38.82608733,-78.19548936
5907049,2,1F002,38.82803482,-78.18881118
8466037,4,1F003_1,38.70154477,-78.26336244
8466037,5,1F003_2,38.70117711,-78.26611893
8466037,6,1F004,38.70437616,-78.26963075
8466037,7,1F005,38.71050226,-78.27579456
8466037,249,PI27,38.74482016,-78.28252724
8466037,250,PI29,38.73999139,-78.28874963
8466037,23,1F145,38.71183103,-78.27754259
8466037,241,NPI02,38.73909162,-78.28860753
8466037,3,1F003,38.70301594,-78.26865877
8466037,43,1F308,38.74517025,-78.28169717
8466037,280,VT60,38.70206,-78.26335
8466037,248,PI26,38.74648468,-78.28126765
8466037,22,1F138,38.72801872,-78.29158443
8466037,247,PI25,38.7453779,-78.28094152
8466037,246,PI02,38.70493474,-78.27057482
8466037,21,1F137,38.71920156,-78.28065937
5907057,16,1F116,38.71481643,-78.34306113
5907057,276,VT51,38.71577,-78.38157
5907057,10,1F008,38.711589,-78.35927528
5907057,47,1FVA1,38.72382707,-78.33717005
5907057,9,1F007,38.71212916,-78.37064837
5907057,17,1F117,38.72709177,-78.33632419
5907057,18,1F118,38.74835781,-78.32445066
5907057,8,1F006,38.71563275,-78.38143481
8466039,12,1F031,38.6968622,-78.28296971
8466039,281,VT61,38.69297,-78.27406
8466039,26,1F218,38.68544202,-78.27610889
8466039,11,1F030,38.69506642,-78.27935884
8466039,49,1FVA3,38.70845025,-78.30035371
8466039,48,1FVA2,38.70329391,-78.29127045
8465763,13,1F056,38.80624886,-78.1543396
8465763,14,1F057,38.80684681,-78.15725044
8465763,15,1F058,38.80695791,-78.16144578
8465763,40,1F235,38.7932857,-78.15834543
5906817,19,1F132,38.78955881,-78.31918196
5906817,46,1F317,38.7973543,-78.33642649
5907079,24,1F210,38.90228189,-78.19445424
5906835,42,1F237,38.66212959,-78.35557463
5906835,25,1F211,38.67043305,-78.37070284
8466033,28,1F223,38.75070009,-78.21512228
8466033,27,1F219,38.74946373,-78.23038562
5906813,29,1F224,38.80561417,-78.28409536
5907053,30,1F225,38.77755073,-78.25520934
5907051,32,1F227,38.77445389,-78.26701735
5907051,31,1F226,38.78309269,-78.27228765
5907047,238,HAPPY,38.89681231,-78.18133898
5907047,33,1F228,38.89670904,-78.18127058
5906799,35,1F230,38.84631429,-78.17819669
5906799,34,1F229,38.84657158,-78.19043203
5907055,36,1F231,38.77821056,-78.34687995
5907055,44,1F310,38.77234936,-78.31891994
8465761,37,1F232,38.82512017,-78.15713525
8465775,38,1F233,38.77251814,-78.1624132
8465799,39,1F234,38.73484527,-78.25972671
5906807,41,1F236,38.80697419,-78.19521338
8466057,45,1F316,38.66942898,-78.29156274
8466057,64,2F036,38.65697092,-78.28212508
8466057,65,2F037,38.65982732,-78.28524381
8466057,152,2F314,38.66047555,-78.29619637
8466057,63,2F035,38.65381171,-78.27335862
8466053,84,2F066,38.55157518,-78.33771964
8466053,146,2F253,38.5771687,-78.37157269
8466053,83,2F065,38.5405705,-78.36542142
8466053,51,2F010,38.54566638,-78.3516876
8466053,149,2F300,38.56381748,-78.36444123
8466053,81,2F063,38.54894113,-78.34035239
8466053,284,VT75,38.54115,-78.35011
8466053,50,2F009,38.54068783,-78.34966912
8466053,52,2F011,38.54823349,-78.35344987
8466053,80,2F062,38.5367986,-78.35896813
8466053,82,2F064,38.54374503,-78.37136798
8466053,129,2F215,38.5087776,-78.32457397
8465881,75,2F054,38.52637321,-78.40971842
8465881,57,2F016,38.5113422,-78.38448462
8465881,58,2F017,38.52515455,-78.4059521
8465881,56,2F015,38.51541886,-78.3663898
8465881,269,ROSE,38.51530765,-78.36635219
8465881,283,VT66,38.51547,-78.36677
8465881,76,2F055,38.52275221,-78.42057407
5908055,59,2F029,38.47788739,-78.48164009
5908055,116,2F130,38.48861124,-78.46606192
5908055,115,2F129,38.4800384,-78.47504303
932080034,278,VT58,38.5705,-78.3044
932080034,60,2F032,38.57104101,-78.30018322
932080034,236,BROKENBACK,38.57366827,-78.29627198
932080034,145,2F252,38.57020363,-78.30433253
932080034,61,2F033,38.57123985,-78.30646497
932080033,62,2F034,38.56732633,-78.31710456
8466045,67,2F039,38.58725386,-78.31309546
8466045,66,2F038,38.57742072,-78.29963509
8466045,72,2F050,38.59522897,-78.31630314
8466045,71,2F049,38.59173511,-78.31560028
8466045,68,2F040,38.59175083,-78.3166781
8466045,239,HUGHES,38.57407658,-78.29630021
8468379,70,2F048,38.41221165,-78.46908564
8468379,69,2F047,38.40656192,-78.45783492
8466043,86,2F068,38.5961709,-78.2775253
8466043,73,2F052,38.63082446,-78.27261273
8466043,89,2F071,38.61539473,-78.26158756
8466043,85,2F067,38.59445985,-78.27427001
8466043,150,2F303,38.61495485,-78.26252301
8466043,74,2F053,38.63409673,-78.28430482
8466043,97,2F090,38.63056516,-78.29403047
8466043,121,2F139,38.62599796,-78.29464371
8466043,96,2F089,38.625201,-78.26830217
8466043,282,VT62,38.6162,-78.263855
8466051,77,2F059,38.53269049,-78.29839481
8466051,130,2F216,38.52490899,-78.31161773
8466051,79,2F061,38.53937636,-78.3136871
8466051,128,2F214,38.54627889,-78.28270277
8466051,127,2F213,38.54158897,-78.2838008
8466051,78,2F060,38.53756684,-78.3055195
8468785,87,2F069,38.3781195,-78.49500057
8468433,88,2F070,38.37948986,-78.50115737
